Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,49.717304,50.054256,47.438606,47.912621,47.912621,2195054
2020-04-02,47.227299,49.191891,46.910336,48.478012,48.478012,3586748
2020-04-03,47.621361,49.406055,47.278698,48.312393,48.312393,3863757
2020-04-06,49.825813,52.464306,49.728725,52.098801,52.098801,3961813
2020-04-07,54.460308,55.328384,52.949741,54.503139,54.503139,4196447
2020-04-08,54.820103,56.973160,54.211880,56.439178,56.439178,6338620
2020-04-09,57.124500,57.826958,54.905769,55.685322,55.685322,7134625
2020-04-13,55.388351,56.167904,54.211880,55.768131,55.768131,4707739
2020-04-14,56.947460,59.111935,56.844662,58.832096,58.832096,2469260
2020-04-15,58.169617,59.882923,56.487720,59.154770,59.154770,2779537
2020-04-16,59.674473,62.809822,59.331810,62.252998,62.252998,3870060
2020-04-17,62.981155,64.134781,62.572815,63.883495,63.883495,2783039
2020-04-20,63.058250,65.611076,62.378639,64.006279,64.006279,4819452
2020-04-21,63.063965,63.954884,60.102798,61.302113,61.302113,5051985
2020-04-22,62.404339,63.575100,61.810394,63.175327,63.175327,3057246
2020-04-23,63.318104,64.603081,62.712734,63.440891,63.440891,2169139
2020-04-24,63.832096,64.223305,62.898342,63.869217,63.869217,2401321
2020-04-27,64.514565,65.048546,63.129639,63.446602,63.446602,1593760
2020-04-28,64.503143,64.685890,61.556255,62.001713,62.001713,2085441
2020-04-29,63.715019,65.391205,62.749859,64.751572,64.751572,2236727
2020-04-30,64.174759,65.242722,63.298115,63.814964,63.814964,2385913
2020-05-01,62.821243,63.440891,61.918903,62.044544,62.044544,3018374
2020-05-04,61.479156,64.091949,61.262135,63.920616,63.920616,2696890
2020-05-05,65.179893,66.056541,64.397484,65.422615,65.422615,3874963
2020-05-06,67.115936,70.553970,66.484863,70.208450,70.208450,5101013
2020-05-07,71.187897,73.012566,67.609940,67.692749,67.692749,9455400
2020-05-08,68.300972,68.817818,66.970306,67.067390,67.067390,6869523
2020-05-11,68.498001,69.189034,66.647629,68.566536,68.566536,5661683
2020-05-12,69.351799,70.122787,67.724159,67.864075,67.864075,5024670
2020-05-13,67.786980,68.866364,64.214737,65.896629,65.896629,5375220
2020-05-14,64.691605,67.452881,64.677330,67.452881,67.452881,3074406
2020-05-15,66.838951,68.829239,66.533409,68.515137,68.515137,2944832
2020-05-18,69.688751,72.892632,69.377502,72.524269,72.524269,2833468
2020-05-19,72.681328,75.582527,72.387207,73.994858,73.994858,3696711
2020-05-20,75.217018,75.802399,73.249573,73.966309,73.966309,3092616
2020-05-21,73.686462,74.891495,72.689888,73.289551,73.289551,1610920
2020-05-22,73.098228,75.294121,72.781265,74.480293,74.480293,2085091
2020-05-26,75.656769,75.868073,74.109077,74.708740,74.708740,2178594
2020-05-27,75.008568,76.236435,73.349518,76.156479,76.156479,1822091
2020-05-28,75.245575,79.123360,75.245575,77.438606,77.438606,3388885
2020-05-29,77.438606,77.901199,76.270699,77.204453,77.204453,3196275
2020-06-01,77.241577,79.928612,77.198746,79.617363,79.617363,2405524
2020-06-02,79.340378,80.970871,78.652199,80.368362,80.368362,3439314
2020-06-03,80.819534,82.224442,80.102798,81.604797,81.604797,2569417
2020-06-04,80.908051,81.816109,79.414619,80.513992,80.513992,3017323
2020-06-05,80.873787,82.164474,79.957169,81.304970,81.304970,3390987
2020-06-08,80.982300,82.193031,80.119934,80.519707,80.519707,2739615
2020-06-09,80.379784,81.053680,79.131927,80.431183,80.431183,3887220
2020-06-10,80.631065,81.310677,79.134781,79.817245,79.817245,2148477
2020-06-11,77.981155,78.723587,75.608223,77.130211,77.130211,2518288
2020-06-12,79.171906,79.394630,76.787552,78.326668,78.326668,2032561
2020-06-15,76.918900,80.394058,76.918900,79.988579,79.988579,3378379
2020-06-16,81.804680,83.752144,80.982300,82.284409,82.284409,4272090
2020-06-17,83.280983,83.892059,82.081665,83.472305,83.472305,4696532
2020-06-18,83.952026,87.064537,83.615074,86.853226,86.853226,4878286
2020-06-19,87.989723,88.520844,83.994858,84.328957,84.328957,6463641
2020-06-22,84.460304,85.434036,83.894920,84.020561,84.020561,3632625
2020-06-23,85.833809,87.752716,84.420334,86.556252,86.556252,4564857
2020-06-24,86.521988,87.944031,84.169044,86.236435,86.236435,2641559
2020-06-25,86.339233,87.815536,85.553970,86.881783,86.881783,2648913
2020-06-26,86.444885,88.643631,86.010849,87.067390,87.067390,8005922
